ID_ES,COD_CATALOGO_ES,NOMBRE_ES,CATEGORIA_ES,CLASE_ES,TIPO_ES,ESTADO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,FECHA_INSTALACION,FECHA_SUSPENSION
1926,25021220,SEIS EL ,PM,MET,CON,SUS,MAGDALENA,SAN SEBASTIÁN DE ,9.6836667,-74.322278,15/10/1976,15/11/1984
1927,25021240,CHIMICHAGUA ,PM,MET,CON,ACT,CESAR,CHIMICHAGUA,9.2600833,-73.809861,15/07/1972,
1928,25021250,DIFICIL EL CAMP ,PM,MET,CON,ACT,MAGDALENA,ARIGUANÍ (El Dificil),9.9119722,-74.085806,15/01/1953,
1929,25021500,PUEBLITO EL ,PM,MET,CON,ACT,MAGDALENA,SANTA ANA,9.5811667,-74.35225,15/10/1976,
1930,25021580,CURUMANI D C ,PM,MET,CON,SUS,CESAR,CURUMANÍ,9.1833333,-73.533333,15/11/1979,15/08/1996
1931,25021590,TAMALAMEQUE D C ,PM,MET,CON,SUS,CESAR,TAMALAMEQUE,8.8666667,-73.816667,15/11/1979,15/06/1998
1932,25021600,APURE ,PM,MET,CON,ACT,MAGDALENA,PLATO,9.8725,-74.580389,15/07/1982,
1933,25021610,AGRADO EL ,PM,MET,CON,ACT,MAGDALENA,PLATO,9.6856667,-74.504861,15/06/1982,
1934,25021620,IRAN ,PM,MET,CON,ACT,MAGDALENA,NUEVA GRANADA,9.6837778,-74.322167,15/06/1982,
1935,25021630,NUEVA GRANADA ,PM,MET,CON,ACT,MAGDALENA,NUEVA GRANADA,9.80175,-74.388556,15/06/1982,
1936,25021640,STA ISABEL   ,PM,MET,CON,ACT,CESAR,PELAYA,8.71275,-73.702556,15/11/1984,
1937,25021650,YUCAL EL ,PM,MET,CON,ACT,CESAR,ASTREA,9.5573889,-73.876194,15/11/1984,
1938,25025000,EL DIFICIL AUTOM ,CP,MET,AUT,ACT,MAGDALENA,ARIGUANÍ (El Dificil),9.9119722,-74.085806,5/5/2013,
1939,25025002,LOS ALAMOS AUTOM ,CP,MET,AUT,ACT,MAGDALENA,SAN SEBASTIÁN DE ,9.3040556,-74.273639,5/5/2013,
